City,PM2.5,PM10,NO,NOx,NH3,CO,SO2,Benzene,AQI
Ahmedabad,26.22,62.82,46.24,82.23,12.32,46.24,53.62,20.89,86
Ahmedabad,31.83,66.74,22.14,57.49,11.9,22.14,61.31,17.5,57
Ahmedabad,70.26,112.29,22.25,64.53,13.05,22.25,66.44,18.03,107
Ahmedabad,59.47,99.73,25.38,63.01,11.94,25.38,75.8,15.78,118
Ahmedabad,58.71,99.04,45.61,85.76,11.99,45.61,65.77,24.12,110
Ahmedabad,56.29,107.96,27.3,57.16,10.89,27.3,50.98,18.61,114
Ahmedabad,50.41,118.62,23.83,57.71,20.24,23.83,64.32,29.14,111
Ahmedabad,57.53,128.81,17.93,60.07,33.72,17.93,79.71,24.09,117
Ahmedabad,43.82,97.19,6.4,40.22,22.52,6.4,46.89,14.23,107
Ahmedabad,42.71,80.24,5.86,32.65,24.68,5.86,142.36,13.67,87
Ahmedabad,54.73,94.12,4.99,25.37,22.79,4.99,96.28,8.68,89
Ahmedabad,50.91,99.84,3.88,21.02,23.18,3.88,57.34,5.76,97
Ahmedabad,38.5,106.7,6.52,26.18,19.54,6.52,51.58,9.94,100
Ahmedabad,32.21,107.43,3.8,23.46,18.13,3.8,62.42,7.54,105
Ahmedabad,35.36,107.25,5.24,23.06,16.57,5.24,100.48,9.49,114
Ahmedabad,59.65,127.26,4.17,17.45,20.46,4.17,40.36,4.47,116
Ahmedabad,46.16,115.95,5.63,18.49,16.35,5.63,38.21,5.2,116
Ahmedabad,34.31,107.74,3.92,20.97,15.88,3.92,26.32,3.88,98
Ahmedabad,39.52,113.31,4.23,25.02,18.5,4.23,35.54,6.05,116
Ahmedabad,43.08,116.06,5.65,30.67,22.46,5.65,87.43,11.25,108
Ahmedabad,38.1,97,15.82,46.1,19.27,15.82,66.39,17.22,100
Ahmedabad,33.08,83.16,3.3,27.41,14.52,3.3,59.16,7.58,92
Ahmedabad,29.7,77.45,5.9,28.7,12.72,5.9,34.53,0,80
Ahmedabad,38.67,82.67,3.52,17.59,12.41,3.52,8.08,0,88
Ahmedabad,30.04,83.07,5.28,24.66,12.52,5.28,17.66,0,83
Ahmedabad,39.72,103.81,3.89,25.17,14.03,3.89,15.84,0,100
Ahmedabad,38.21,78.95,5.74,27.69,14.15,5.74,25.9,2.15,81
Ahmedabad,58.31,124.64,18.01,44.34,14,18.01,13.59,1.21,112
Ahmedabad,62.49,113.56,30.8,66.53,16.53,30.8,41.06,0.66,113
Ahmedabad,49.04,102.46,19.91,54.77,14.09,19.91,31.56,1.67,105
Ahmedabad,41.67,80.09,4.3,22.86,13.51,4.3,46.6,0.05,88
Ahmedabad,32.44,75.3,6.99,26.78,12.65,6.99,79.56,0.2,78
Ahmedabad,26.43,80.85,16.73,37.58,11.64,16.73,50.09,1.38,78
Ahmedabad,25.08,60.67,6.3,23.45,14.1,6.3,13.85,0.21,69
Ahmedabad,26.09,63.05,3.44,15.44,10.74,3.44,24.79,0,60
Ahmedabad,16.62,39.94,3.35,17.97,11.53,3.35,76.05,0,51
Ahmedabad,49.58,82.95,5.7,24.23,13.47,5.7,65.44,0.05,61
Ahmedabad,43.52,80.01,4.55,23.69,13.75,4.55,85.42,0.06,90
Ahmedabad,39.83,76.09,5.29,19.73,13.34,5.29,74.37,0.09,74
Ahmedabad,36.89,76.61,3.11,16.12,13.96,3.11,118.35,0,76
Ahmedabad,48.71,96.46,3.88,16.82,13.01,3.88,41.94,0.02,
Ahmedabad,52.69,94.25,5.05,21.56,15.35,5.05,77.74,0.01,92
Ahmedabad,46.48,95.41,5.69,19.66,15.02,5.69,78.27,0,93
Ahmedabad,44.22,77.62,4.67,20.53,14.58,4.67,39.41,0.01,88
Ahmedabad,35.91,71.26,15.69,39.73,13.53,15.69,93.18,0.22,75
Ahmedabad,39.05,81.51,13.12,35.05,10.94,13.12,65.95,0.3,79
Ahmedabad,30.21,67.22,2.69,10.9,11.24,2.69,50.13,0.47,74
Ahmedabad,31.14,60.35,2.73,2.75,11.8,2.73,34.06,0.28,62
Ahmedabad,26.82,52.51,3.14,6.75,11.54,3.14,22.27,0.17,53
Ahmedabad,26.34,52.07,6.24,26.2,9.3,6.24,15.5,0,53
Ahmedabad,28.48,55.8,8,26.61,10.49,8,20.13,0,55
Ahmedabad,21.83,52.92,9.94,27.18,7.53,9.94,39.69,0,52
Ahmedabad,24.23,52.06,10.68,27.38,8.17,10.68,54.69,0,55
Ahmedabad,22.29,55.96,11.44,27.61,10.88,11.44,42.66,0.01,56
Ahmedabad,25.28,54.59,12.3,27.86,12.44,12.3,27.96,0,56
Ahmedabad,19.68,45.57,20.42,37.83,8.44,20.42,31.9,4.9,52
Ahmedabad,29.89,71.75,5.31,33.62,9.17,5.31,36.05,10.6,
Ahmedabad,24.4,70.25,14.28,41.92,10.27,14.28,70.13,16.9,76
Ahmedabad,20.05,79.5,21.23,45.4,9.77,21.23,17.66,20.53,76
Ahmedabad,23.72,55.74,7.56,24.33,10.54,7.56,38.76,4.92,81
Ahmedabad,26.12,56.77,7.14,23.72,9.83,7.14,52.07,5.05,59
Ahmedabad,13,29,8.05,23.34,20.1,8.05,36.23,5.23,
Ahmedabad,9.25,35.45,10.44,21.8,9.06,10.44,17,0,
Ahmedabad,7.16,26.39,9.46,22.5,8.62,9.46,30.67,0.41,46
Ahmedabad,7.97,33.2,10.89,27.15,8.66,10.89,41.12,12.62,40
Ahmedabad,6.48,23.83,2.18,17.74,8.32,2.18,26.4,3,33
Ahmedabad,7.2,34.11,2.96,18.49,7.23,2.96,41.96,3.41,49
Ahmedabad,8.27,27.27,4.12,19.28,6.04,4.12,23.67,3.72,32
Ahmedabad,17.79,53.96,4.23,18.06,8.37,4.23,14.46,2.39,
Ahmedabad,9.21,27.62,4.26,17.1,6.59,4.26,12.85,2.5,42
Ahmedabad,24.83,67.21,5.27,21.42,10.45,5.27,14.91,3.03,
Ahmedabad,19.78,49.86,13.71,31.64,6.3,13.71,15.33,6.32,53
Ahmedabad,8.85,30.54,6.67,23,5.01,6.67,46.82,4.79,47
Ahmedabad,25,61,5.6,20.42,7.5,5.6,41.68,2.64,
Ahmedabad,23.35,91.83,7.02,21.13,7.8,7.02,71.97,3.74,
Ahmedabad,18.48,62.52,7.25,19.66,6.68,7.25,18.64,2.73,79
